kingdom	superclass	class	subclass	direct_parent	rows
0	2	2114	2114	2114	11316
0	4707	278	503	503	11285
0	2	2377	2377	2377	11284
0	2	218	1158	3031	11257
0	2448	2279	1935	2982	11254
0	289	480	480	480	11231
0	2	4788	4789	416	11213
0	2	436	83	2638	11200
0	4603	323	11	146	11183
0	2	211	210	1866	11139
0	12	3909	262	2950	11134
0	4603	323	129	286	11075
0	12	256	2214	1299	11036
0	4707	278	7	2760	10970
0	2	1253	57	57	10941
0	4603	323	254	1656	10915
0	2	90	2554	2557	10911
0	4603	323	254	3338	10844
0	2	436	78	242	10825
0	2	195	1581	1582	10812
0	2	1797	1797	1797	10745
0	2	4191	4191	4191	10741
0	2448	2279	321	4704	10731
0	2448	2279	1257	1257	10617
0	2	102	102	102	10595
0	4603	323	1831	3926	10593
0	2448	134	1286	137	10582
0	2	1930	1930	1930	10534
0	2	86	481	1211	10508
0	264	265	13	4313	10505
0	264	4434	270	1178	10472
0	2	97	4336	4337	10356
0	462	1370	3194	3867	10307
0	264	265	1093	3922	10300
0	2	98	4107	4107	10277
0	264	419	1302	1302	10236
0	2448	134	1272	1274	10218
0	261	334	2585	2596	10210
0	4	1202	3862	3862	10206
0	2	343	343	343	10195
0	2	2699	2701	2701	10172
0	2837	4475	4476	4476	10105
0	264	265	2524	2525	9979
0	2	211	1733	1733	9962
0	2	1253	4538	4538	9918
0	4707	278	503	1012	9742
0	264	4434	270	4581	9674
0	2	436	78	2631	9673
0	4707	278	278	278	9642
0	2	98	1920	1920	9564
0	2	160	162	167	9539
0	4603	323	1831	2229	9537
0	3630	3631	1152	4117	9532
0	2	98	1693	4733	9525
0	2	1626	1626	1626	9497
0	2	1346	75	4161	9470
0	264	403	3455	1185	9466
0	2	2389	189	2184	9459
0	264	265	1093	1658	9455
0	2	1346	67	2563	9455
0	2	4659	4659	4659	9431
0	2	1910	1988	1988	9426
0	2	2490	88	205	9410
0	4	491	491	491	9389
0	2	107	392	2407	9350
0	261	334	1111	3533	9318
0	289	4502	4502	4502	9314
0	2	2011	2011	2011	9305
0	264	419	327	327	9283
0	2	244	244	244	9279
0	264	1813	1961	1994	9270
0	2	368	1313	1313	9243
0	2	1816	1816	1816	9221
0	2448	23	1871	4687	9197
0	2	222	222	222	9193
0	2	76	4758	4758	9187
0	12	3909	262	495	9179
0	2	1929	1929	1929	9177
0	2448	23	2275	2275	9134
0	4	2485	1212	1212	9107
0	2	2129	2129	2129	9094
0	2448	134	1286	135	9067
0	2	1253	1908	1811	9056
0	261	476	1391	1391	9052
0	261	1900	1900	1900	9049
0	12	259	1549	1127	9028
0	12	259	1283	1772	8987
0	264	364	364	364	8985
0	2	312	4293	4692	8984
0	267	1515	1515	1515	8947
0	2448	134	139	139	8918
0	2	2491	226	228	8878
0	2	89	2212	2212	8876
0	12	258	1295	3095	8839
0	2448	2279	2042	2042	8818
0	261	2106	2106	2106	8807
0	12	258	1013	2364	8782
0	264	265	4450	4452	8778
0	2	2351	2351	2351	8707
0	4603	323	11	2205	8677
0	2	317	55	55	8576
0	2448	2279	41	52	8562
0	12	259	1552	1552	8533
0	264	472	299	299	8532
0	261	334	1111	3531	8505
0	2	2491	2083	2575	8462
0	2	2648	2648	2648	8365
0	2	102	1876	2422	8362
0	267	2868	2863	2863	8357
0	4707	278	112	4511	8309
0	2	1918	1918	1918	8308
0	4707	278	158	158	8235
0	2	756	756	756	8216
0	2	1346	75	1921	8188
0	2	231	231	231	8171
0	2	105	1316	1316	8158
0	261	238	1710	1710	8143
0	2448	2279	176	1251	8125
0	261	2506	2819	2820	8116
0	2	1990	1990	1990	8115
0	2	98	1693	3080	8113
0	12	258	1445	1445	8102
0	279			279	8085
0	2448	2279	176	4012	8072
0	2	1253	2348	2196	8052
0	12	256	2216	1358	8043
0	2	2499	2499	2499	8006
0	4603	323	1831	2434	7997
0	12	259	1551	3782	7997
