subclass	direct_parent	intermediate_nodes	rows
2585	2595		1812
4128	4128		1812
189	2516	189	1811
3891	3891		1806
588	588		1795
1386	1386		1789
1322	1326	1322	1787
2320	2768	2764	1787
3597	3599	3597	1784
1093	475		1784
499	499		1781
1027	3961		1781
4208	4209	4208	1775
4484	4484		1771
262	2949	262	1769
1368	1368		1769
2908	2908		1768
221	221		1766
1232	1232		1765
134	134		1758
245	2987	245	1754
2922	2922		1752
1908	1762	274	1749
95	225		1746
1749	1749		1743
4141	4141		1739
3	3		1733
372	372		1729
1524	4072	4066	1729
217	2836		1728
3468	3468		1719
	4478		1699
4461	4461		1692
1908	3017	274	1689
4408	4408		1686
1027	3960	3961	1686
3815	4782		1683
4388	4388		1679
75	1927		1676
1604	1613	3424	1666
112	115	114	1660
1551	2003	2002,2930	1657
1884	1884		1653
11	4165	11,2105	1652
1522	1522		1650
1551	2875		1650
112	3295	116	1641
2083	2083		1633
13	4555	60,347,4313	1633
1552	2883		1633
13	4319	13,60,347	1632
1550	2051		1632
262	339		1628
3650	3650		1622
2224	1562	367,2224	1620
1974	2312	1974	1616
1630	3475	1630	1615
74	208	74	1612
245	1998		1606
176	2948	176,281	1603
3413	3413		1596
2449	2228	2449,2451	1595
1204	1204		1595
408	3457		1593
1819	1819		1592
324	1095		1591
3282	4506	3282	1588
2748	2748		1586
3410	4774	2339	1584
162	2318		1583
1966	4259		1581
3889	3889		1580
11	1541	1540	1577
1551	8		1577
384	1249		1575
175	175		1573
2617	1608		1573
1074	1074		1568
1310	4657	397	1565
1831	118	1831	1564
4404	4404		1562
1306	1306		1562
1243	1243		1558
176	4578	487,1248,4576	1554
13	4320	60,347	1551
1111	3535	1737	1550
3410	3483	200,2817	1548
2360	2360		1542
4640	4640		1541
2807	2803		1537
1534	1546		1535
4258	2626		1533
1534	1545	2802	1531
1553	2380	1553	1531
3981	3981		1531
1091	3276	1091	1528
2013	2014	2013	1522
1908	1763	274	1516
4164	4164		1514
2936	2936		1513
1093	1164	475	1513
1922	1922		1512
2576	2576		1508
503	4225	503	1499
2060	2060		1494
4450	4451		1493
217	217		1492
176	3105	176,2086	1491
1572	1572		1491
358	202	358,2569	1488
2607	2607		1487
129	2647	129,1661	1481
2672	2672		1481
2147	1620		1478
1295	3233	3027	1477
176	4700	176,1350	1466
3015	3015		1466
399	399		1464
395	395		1463
2750	2750		1461
2991	2990		1461
1093	376	475,1662	1460
1566	1566		1457
3808	3263		1455
3530	3530		1455
1322	4626	2414,4624	1455
1093	1663	475,1093	1453
3389	3389		1453
1549	1401	1549	1450
13	4146	13,60,347,2404	1445
408	3869		1442
3491	3489		1437
2585	2590		1436
1630	3474	1630	1432
4036	4036		1432
210	4720		1432
3597	3598	3597	1431
1093	3919	1093,1166	1418
2991	2993		1417
384	384		1415
1445	1124		1414
3808	1597	1133	1413
2704	2704		1411
3409	3409		1410
1630	3473		1410
1786	1786		1408
3625	3625		1406
129	1670	129	1403
13	4148	13,60,347,1189,2402	1403
2497	3214	2497	1398
1936	1936		1398
1692	1692		1396
1938	1938		1392
4758	4805	4758	1386
534	534		1385
742	742		1383
243	243		1382
1686	1686		1378
1283	2119		1376
1113	1113		1375
1325	1325		1374
2484	2484		1373
3809	3810		1364
13	1162	13,318,347	1358
2147	1621		1354
1111	3534	1583,2934	1352
2567	2567		1350
11	3049	215,1258,1366,1697	1350
2131	2130		1348
2553	2252	2553	1347
1111	1737		1347
108	197	196	1347
1926	1926		1346
13	3024	348	1346
2585	2593		1341
513	514	513	1338
1234	1234		1338
13	4176	347	1330
3404	3404		1330
4376	4376		1328
176	4413	176,178	1322
1831	156	118,3487	1321
162	4410	168,173	1316
87	2350	87	1310
1551	3494		1305
1871	4688	2349,4687	1305
2536	2536		1304
1936	4005	1936,4004	1300
3888	3888		1299
3738	3738		1299
1524	4347	4348	1298
75	1262	75	1296
4208	4210	4208	1296
324	3417	324	1295
3194	4480	4445,4479	1289
112	1207		1289
49	49		1285
226	228	226,227	1284
13	4311	13,60,347	1283
75	2415	75,1319	1282
106	106		1282
3194	3196	3194	1280
2570	2570		1279
415	415		1279
262	471		1275
2148	2162	2153	1273
1310	397		1272
81	4727	4724	1271
2257	2028		1260
1935	2982		1257
1549	1563	1549	1256
1534	2802		1254
11	3050	215,1258,1366,1697	1248
2224	367	2224	1242
1674	1674		1238
2724	2729		1231
151	3952		1230
176	1917	176,281	1228
1295	3027		1226
3194	4481		1226
3484	3486		1226
1606	1575		1223
2506	2506		1221
103	103		1215
75	1122	75,291	1213
1701	1701		1213
2224	1160	2224	1210
3929	3929		1209
129	1661	129	1207
3107	3107		1205
11	198	11	1204
162	4412	168,173	1203
2022	2023	517,2022	1202
1854	1854		1199
517	2023	2022	1199
3258	1432	1419	1199
2181	2181		1195
4401	4401		1193
3778	3778		1192
1134	1134		1192
4157	4157		1191
1013	1687	1013,2364	1185
4789	4167	485	1182
176	3539	1248,1251	1176
1734	2829		1175
162	173	162,168	1173
337	3013		1171
95	2008	95,2007	1164
176	4577	487,1248,4576	1164
1093	3989	1238	1164
162	1458	168,173	1164
1908	100	1908	1163
176	1251	176,1248	1161
4105	4735		1161
2680	2680		1155
1551	676	1551	1143
11	1697	215,1366	1143
408	4618	4616	1142
1013	1447		1136
3477	3477		1135
1093	4684	1165	1135
129	1292	129	1133
189	4397	1976	1129
4099	4488		1127
3686	3686		1126
32	2761	34	1124
162	162		1124
3936	3936		1120
4208	4212		1119
41	3956	3955	1113
1445	1110	2194	1113
2810	4561		1112
1935	4513	2982	1112
3132	4715		1112
663	663		1111
2067	2067		1110
3715	3715		1110
3094	3094		1109
162	168		1109
189	3357	189	1108
1572	4748	4623	1107
337	3508	3642	1106
4208	4215	4212	1106
235	3202	1327	1104
245	246	245,597	1100
1080	1843		1099
2127	2127		1097
1888	1888		1093
411	411		1091
11	3305		1090
4812	4812		1085
377	377		1083
1446	1446		1082
81	4725	4724	1081
2755	2755		1078
1125	1807		1073
3653	3653		1071
3809	3811		1071
1283	2119	1283	1065
2823	2823		1062
1340	1340		1060
359	359		1057
1201	1201		1055
1491	1502		1053
1633	1633		1052
411	3078		1050
335	2621	335	1049
141	4505		1044
3415	3415		1041
1293	1293		1039
254	2539	1092	1039
4370	4370		1038
3759	3759		1031
270	3075	2237,3074	1027
1550	3582	2004	1026
1734	4424		1025
4258	4258		1024
2016	2016		1024
375	4667		1024
1550	2517		1020
1368	1190		1015
3893	4482	3893	1013
490	490		1013
262	340		1010
2320	2770	2766	1008
392	2307	392	1005
1379	1381		1000
2819	2820	2819	997
357	357		997
2655	2655		996
56	2240		995
13	2620	60,347,1189,2402	995
1181	1181		994
3484	3485	3484	990
87	4207	87,2350	989
1323	1323		982
1551	2877		978
157	157		971
3394	3394		967
1111	2996	1361,1583	967
1116	1116		965
3770	3770		964
269	269		962
1445	2198	2194	961
1322	2254	1326,2253	961
390	391	4096	960
1831	3487	118,1831	953
2215	3403	1393	952
3410	4775	144	950
238	238		945
1534	1547		944
4112	4112		944
513	519		942
1831	3672	3131	941
417	4525		938
1678	1678		937
1551	2550		937
4789	416	486,4789	934
4195	4195		931
112	116		931
11	1498	11,1540	922
1794	1794		922
2449	1897	2449,2460	921
11	1540	11	918
1303	1303		918
226	1923	226	917
2215	3402	1393	917
2134	2175	2173	915
4504	362	4504	914
2892	2895		908
4390	4406		908
1043	1043		907
1831	2435	124	907
1766	3861	1766	906
1283	1543		906
1551	2906	2875	905
1831	3670	118,1831	902
499	3882		901
1630	3542		896
4822	4822		891
1283	1768	1538	891
11	3925	373,1498,1540	890
117	2395	1267	890
1550	3562	1781	886
3566	1469	3566	884
2910	2910		884
270	2959		883
3264	3264		878
2747	2747		876
2653	2653		876
1823	1823		876
3410	1735	144	872
1853	1853		868
4155	1845	4155	865
2285	2285		864
117	1267		863
1872	1872		862
3419	3419		855
254	1656	254	854
2680	2746		853
189	2410	189,2315	848
1550	2245		848
176	2947	281,1779	848
1093	1664	475,1093	845
1885	1885		845
1831	2492	118,2384,2495,3487	844
2288	2289		844
1795	1795		843
2052	2052		842
7	7		842
162	4411	162,168,173	840
1295	4158		840
1091	4223	1091,4219,4220	839
3755	3755		838
1157	1157		837
2818	4636		836
1445	1159		835
2247	2247		834
2013	2406	2013	832
108	196	108	826
176	4702	176,1350,4701	825
3372	3372		825
245	3454	245,2987	824
1551	1760		824
858	858		822
3410	3522	3410	821
2671	2671		816
3597	3601	3310,3597	816
3461	3462		814
75	2202	75	813
2892	2893		813
1379	1379		811
1286	4272	135,182	811
3536	3536		811
1283	1771	1283,1543	810
1825	1825		807
1864	1864		807
262	1537	1989	805
1283	2046	1543	802
4752	4752		799
1111	3678	1583	799
2445	2446		797
375	3280		794
2800	2800		793
67	2085	67,2265	791
1805	1805		790
160	160		788
1667	1667		788
117	3091		788
2484	1231		786
129	1605		785
1831	4673	118,3670,4296,4298	784
1612	1828		783
1286	182	135	783
4293	4692	4293	781
530	530		778
1615	3504		778
1593	1593		776
1903	2416	1903	776
1550	3752		776
1844	1844		773
1766	2201		770
346	1271		770
4442	4442		769
4294	4294		769
1831	3926	133,1831	767
1875	1875		766
1548	3001	1548	765
1535	1535		763
1315	1315		763
589	589		762
2381	2381		762
2058	2058		762
3443	3443		760
2654	2654		758
1337	1337		758
1204	3868	2857	757
3109	3109		755
1237	1237		754
2188	2188		751
92	92		751
2937	2937		751
2213	2213		750
2039	2039		748
162	172		748
504	512		747
1604	3423		747
80	2110		747
584	584		746
11	146	11,1148,3305	744
2659	2659		744
2224	1934	2224	743
176	3106	2086,3105	743
1982	2223	1982	742
1997	1997		742
412	412		741
1349	1349		740
526	526		739
2780	2780		739
270	1179	270	738
2355	2355		738
1093	4527	475	738
78	2311	78,2310	736
1524	4090	4071	734
235	235		734
270	1585	270	733
3258	3257	1419	733
2017	2419	2017	731
1551	2916		731
1093	3283	376,475,1662	730
1831	2912	118	729
2843	2438	1301,2847	726
1551	351		725
1188	1188		724
1666	1666		721
1778	1778		721
176	4010	176,1105,4009	720
4131	4131		719
83	2641	83	718
1023	1023		717
346	4579		717
129	4343	1292,2509,2510	715
388	388		714
1906	1906		713
126	126		713
3364	3364		710
1822	2056		710
11	3575	282,1675,3305	710
1111	2997	1361,1583	709
1283	1772	1283,1543	708
78	242	78,2310	707
2500	4620	2500	707
3410	3519	200,204,2817	704
4776	4777		703
3389	3388		703
11	3307	1542	699
11	1499	1540	699
2586	2602		698
4681	4682		698
41	1892	41	693
2573	2573		693
2215	3186	3187	692
2449	2458	2449,2451	691
4208	4211	4208	689
2147	1622		689
1630	3509		688
1175	1175		687
78	2633	78,2310,2632	686
1445	2194		685
129	129		684
2215	2215		684
1534	2231	2801	684
13	4145	13,60,347,2404	681
3361	3361		680
2795	4575	4570	680
1295	3232	3027	680
1093	3033	1657	679
110	3039	255,1228	679
2449	2457	2449,2452	678
1612	1828	1612	678
162	3066		678
637	637		677
11	2191	198	677
129	286	129	676
2617	1608	2617	676
2724	2728		673
129	2856	2286	673
2586	2689	2602	672
93	4001	2562	672
1604	3422		672
2586	2687	2586,2606	670
2382	2382		670
1204	3870	3662	670
1549	1127	1549	667
1529	4568		666
503	1282		666
1466	3570	1466	665
1152	2459		663
4566	4566		662
444	444		660
11	2814	215,374,2094	660
337	1587	1584,3012	659
266	266		658
11	2365	2105	658
1311	1311		656
2449	2453	2449,2450	655
99	4202		654
1939	1601		652
	3866		652
3970	4532	3970	651
4164	4662		651
337	1594	1584,3012	649
1831	1373	1831,3131,3672	644
1493	1493		643
3998	4078		641
1607	3528		640
2257	2695	2257,2334	639
1194	3059		637
3194	3867	3194,3195	636
555	555		633
4364	4364		631
272	272		630
2213	1289		630
1295	3238		629
1551	4013	1767,2998	628
1831	3673	3131,3672	625
3327	3208	1090	624
67	2413	67,2265	623
854	854		621
1523	1523		620
417	4525	417	617
2134	2141	2135	617
822	822		614
1158	3032		614
210	4392	1865	610
1073	1073		609
1908	1811	274,1908	608
3410	204	200,2817,3410	608
262	483	262	608
2508	2898		607
2466	2466		604
2585	2594		604
321	4414	321,4704	603
2673	4802	2673	600
3993	4184		598
117	2375	117,1673	597
192	192		596
4132	4133		596
11	1497	11,1540	595
656	656		595
67	2265		592
2340	3053		592
4504	1375	362	591
262	1989	262	589
1524	1524		588
4336	4337	4336	588
2610	2610		588
442	442		588
2979	2979		588
11	2276	11,3305	586
1882	1882		585
129	2286		585
2991	3006		584
1111	3540	1583	584
13	1879	13,347	583
3616	3616		583
1295	3229		581
121	2025	121	580
184	184		578
2211	2232		578
1334	2951	1334	577
583	583		577
1534	2801		577
861	861		577
3885	3885		577
1093	3416	1093,1238	576
1831	2494	118,1831,2384,2495,3487	575
4105	4721	4639	575
11	2259	11,1497,1540	574
1871	4687	1871,2349	574
75	1321	75,1319	574
284	3968	284	573
3135	3135		573
1152	4117	1152	571
1572	3384		570
4776	4778		570
1780	1780		569
3992	3992		568
1961	1994	1961	567
843	843		567
56	1291	56	564
1295	3228		564
3597	3600	3310,3597	563
41	500	41	563
1612	1612		562
3461	3461		562
1027	3958	3962	562
2838	1019	2839	561
95	2635	95	559
189	3358	189,3357	557
3688	3688		556
4653	4653		555
13	1192	318,347	554
41	3030	41,500	551
2214	2214		550
353	352		550
2215	3832		550
2554	2557	2554,2555	549
1172	1172		545
363	363		543
587	587		542
1111	3533	1111,1583	541
2468	2429		540
1857	1858	1857	539
13	3350	60,347	539
513	46		538
3746	3746		538
245	249		538
837	837		535
1342	1342		535
1338	1338		535
1450	1450		534
1093	3922	475,1093	532
4440	4440		532
112	2235	2392	531
337	1362	1632	531
2449	469	2449,2450	530
337	3507	3646	530
3194	3140	3194,3265	529
2740	2740		529
1420	1420		528
1091	4224	1091,4219,4222	528
270	1178	270	527
1008	1008		526
4676	4674		526
13	1995	13,348	524
1821	1821		523
1612	3526	1827	521
3997	4064		521
1903	2256	1903	520
1513	1513		518
2001	2001		517
245	1505	597	517
337	3012		517
2585	2588		514
1551	3789		514
517	1229		512
3389	1233	3389	511
1286	135	1286	510
390	4096		510
32	3278	32	509
1831	2493	118,2384,2495,3487	509
431	431		508
1279	1279		504
1672	1672		504
1831	4808	118,1831	503
2216	1358	2216	502
1454	1454		502
1534	201	1546	501
1551	2548		501
1551	3398		500
330	43		499
481	1211	481	497
3258	1431	1419	497
1077	1077		496
1936	4004		496
1871	4686	1871,2349	495
1831	1363	1831,3131,3672	494
4545	4545		494
3750	3750		491
1871	3071		491
1295	3095	1295	488
1798	1798		485
1948	1948		484
2320	2777	2320,2763	484
2724	1704		484
4120	4120		483
1093	2354	1093,1238	482
4572	4572		482
1641	1646		482
2614	2614		482
262	2950	262	481
2921	2921		481
375	2983		481
546	546		480
2010	2009		480
2724	2731		479
590	590		478
4758	4759	4758	478
1831	1376	124	478
1908	2827	274,1763	478
3683	3683		475
2855	2855		473
4353	4353		472
2900	2900		472
4157	4160	4157	466
1551	2002	2930	466
254	1092	254	465
1551	1757	1551	465
4789	207	4789	464
1813	1813		464
1544	1617	1544	463
4758	1448	4758	462
41	3954	41,52	461
1027	3962	1027	460
285	4757	285,4712,4755	460
418	4644		460
2148	2155	2149	459
3194	3270	3201	459
190	1705		458
4710	4710		457
2015	2015		457
1549	1565	1549	456
88	205	88	455
1418	2963		455
270	4581	270,3136,3311	454
162	1457		454
2225	2225		453
2498	2498		453
2497	4529	2497,4196	451
2213	1638	1413	451
7	4729		450
	4707		450
1290	1252	1290	448
4123	4123		447
2627	2627		447
1529	4591	4568	447
1831	1831		444
365	365		443
4169	4169		443
1940	1940		443
321	4704	321	442
4129	4129		442
2083	2575	2083	442
1761	1761		440
4789	4827	207,4789	437
183	4271	183,1637	437
3194	4481	3194	436
1554	1411	1277	434
503	1609		433
1535	1117		432
285	4718	285,1846,4716	432
4362	4362		429
2585	2591	2585	428
1329	1329		427
1551	2931		427
110	2954	2618,3042	427
2744	2744		426
1348	1348		426
2978	2978		424
1822	2057	2056	423
75	1285		422
2134	2145	2137	422
3652	3652		421
2799	2799		420
2218	1367	2218	419
2795	4570		419
2049	1756	1755	418
2055	2055		417
1834	1834		417
1205	3381		417
1607	3528	1607	416
1091	3983		416
1551	2930		416
1908	3017	274,1908	414
3758	3758		414
1572	4623		414
13	1812	347	414
1903	1903		412
2720	2720		412
1758	1758		411
1785	1785		410
3491	3488		410
176	1106	176,1105	409
1194	3557		409
166	166		406
1146	3476		406
254	4669	2463	405
250	1149	250	403
1111	3531	1111,1583	403
15	1378		403
2213	3826		402
1551	1357	1551	400
13	1801	347	400
1808	1808		400
2586	2606		400
183	4271	1637	400
1343	1343		400
1310	382		399
563	563		398
3354	3354		398
573	573		397
245	3453	245	396
78	1227	78,2310	395
4441	4441		395
13	347		395
2220	1676	1139	395
3258	1429	1419	395
1862	1862		394
1182	1182		394
3194	3265	3194	393
3364	3368		393
13	4313	13,60,347	391
1800	1800		391
11	1696	11,215,1366	391
2795	4574	4570	391
2320	2767	2764	389
1612	1827		387
2908	2644		386
695	695		384
3327	1653	1090	383
1911	2424	1911	383
1115	4268		383
2397	2397		382
3410	3518	200,204,2817	382
32	62	34	381
1094	1094		380
408	3458	408,3457	379
2076	2076		379
1831	2229	124,1831	377
537	537		377
1080	1080		377
354	354		377
2333	2333		376
13	1441	60,347,394	376
1093	3626	1093,1238,3628	375
2571	2571		375
4695	4695		374
1283	502	1543	374
2903	2903		373
1093	4768	1238,3626,3628	372
4813	4813		372
2819	2819		371
2585	2592	2585	370
4467	4466		370
176	2787	176,2086	369
337	1138		366
110	1651		366
4468	4468		366
2896	2896		364
4378	4378		364
1445	516	1445,2194	363
2700	2700		363
1831	2230	124	363
308	4292	308	362
3436	3439		362
1544	2208	26	361
2213	3827		361
1550	1777		361
408	237	4781	360
35	4728	1099,2564	360
1111	2934	1583	360
539	539		359
3738	3718	3738,3740	358
4789	206	4789	358
32	2762	34	358
3194	3271	3201	358
78	2529	78,2310	356
3279	3279		355
176	4012	176,1105,4009	353
4450	4452	4450	353
4037	4037		353
3936	4177		352
1093	1659	1657	351
1604	3424		351
3993	4183		350
1572	3382		350
1551	3780	2738,3401	349
2449	2449		349
1286	137	1286	348
2586	2605		348
3567	1403	3567	347
1017	1017		347
1877	2423		343
941	941		342
1554	1410	1277,1554	342
1371	1371		341
1283	2048	1543	341
11	215	11	340
1831	3213	124,1831	339
1205	3072		339
429	429		338
1445	260	1445,2194	338
1671	1671		338
13	2403	60,347,1189,1224	338
1093	1662	475,1093	337
4105	4639		337
2645	2645		337
3440	3440		336
1341	1341		336
2148	2168	2153	335
1544	2209	26	334
3768	3768		333
1548	3000	1548	332
3455	1185	3455	332
4097	4226		332
2927	2927		331
3799	3799		331
337	1632	337	330
1310	380		329
75	1319	75	328
3194	3896		328
2933	2933		327
10	10		327
176	4699	176,1350	326
1112	1112		326
1552	2882		326
189	2316	189,2315	325
3981	3980	3981	325
1026	4521		325
548	548		324
2132	2133	2132	324
739	739		322
3087	3089	3087	322
1283	2502	1538	322
660	660		321
2366	2366		320
1551	3550		320
2892	2894		319
3981	3979	3981	319
2838	2841	2839	318
11	1599	1542	318
11	2262	1498,1540	318
129	2510	1292,2509	318
11	1500	1540	318
405	4055		317
1111	3532	1583,2934	317
1649	1649		316
4402	4402		316
1391	3003	3002	315
3409	1873	3409	314
78	2630	78,2310,2628	314
85	85		314
3491	1126	3491	314
11	2816	215,374,2094	314
4132	4132		313
176	4750	2565	313
3976	3977		313
4233	4234	4233,4308	312
1551	2877	1551	312
1712	1712		312
1831	1280	124	311
3808	1603	1133	311
2908	2643		311
2215	3832	2215	310
176	2514	176,487,1248	308
3491	3490		308
3261	3261		307
1034	1034		307
2667	2667		307
78	2631	78,2310,2628	306
2078	2078		306
129	2938	129,1661	305
408	4617	4616	305
324	1421		304
2236	2236		303
1370	1370		303
1295	3578		303
764	764		300
432	432		299
3065	3065		299
513	30		298
564	564		297
3624	3624		297
190	1708		297
1615	3503		297
2928	2928		297
2214	1685	1320,1683	296
4122	4122		296
3976	3976		296
41	52	41	295
112	2464		295
1091	3969	1091,4108	293
1551	2878	2871	293
2148	2166	2151	293
3392	1131		292
1508	1508		292
2679	2679		291
2704	2705		291
2219	3347	1344	291
11	1675	11,282,3305	290
11	3306	1540	290
4776	4777	4776	289
3410	2339	3410	289
3220	3220		289
358	2833	202,2569	289
1702	1702		289
1453	1453		289
4077	4077		288
3327	1328	1090	288
2484	3881		287
1158	3031	1158	286
2348	2196	2348	286
3258	1439	3258	286
408	3459	408,3457	285
2843	2845	2847	285
2486	2486		284
2219	3346	1344	284
11	3576	282,1675,3305	283
4456	2074		283
1550	3565		282
190	1707		282
2042	2126	2042	281
2792	2792		281
210	1865	210	281
2320	2778	2320,2763	280
717	717		280
337	3506	3643	280
112	2392		280
1823	1826		280
1717	1717		279
176	3009	487,1248,3008	279
1283	1770	1283,1543	278
2449	2450		278
3258	4305	1419,1428,3258	278
2892	2895	2892	277
4105	4638	4105	276
1933	1933		276
1544	1143	26,2209	275
2049	1755	2049	274
1693	4733	1693,3080	274
1691	1490	1691	273
329	329		273
585	585		272
4493	4493		272
1831	133	1831	270
78	2629	78,2310,2628	270
1679	1679		270
1630	3472	1630	269
408	3869	408	269
4097	4230		269
56	1144	56	269
1572	3383		269
3410	3517	200,204,2817	269
2215	1677	1405	269
1831	2434	124,1831	268
262	3544	262,338	268
408	3460	408,3457	268
1152	1152		268
151	1600		268
189	4398	1976	268
75	4161	75	267
2465	2465		267
2724	2732		267
1551	3547		267
4040	4067	4038	266
1152	4607	4117	266
1957	1957		265
99	4683	99,234	264
513	1021		263
1552	2881		263
921	921		262
1093	4252	475,1093,3922	262
176	2786	176,2086	262
1551	3782	1551	260
4095	4095		260
3723	3723		260
93	4668	93,2562,4001	259
11	2205	11,2105	258
1379	420	1379,1381	258
3199	3199		258
2042	1829	2042	257
2724	2727		257
1831	3978	124,1345,1831,3213	256
162	174	162,172	256
3018	3018		256
2449	1210		256
1507	1507		255
75	1921	75	255
11	3308	11,198	254
3215	3215		254
2796	2796		254
2320	2769	2320,2764	253
735	735		252
1295	3241		252
4105	4731	4105,4638	251
1534	2092	1546	251
1831	3675	124	250
358	2568	358	249
3194	4444	3194,4445	249
535	535		249
1512	1512		249
1665	1665		249
1125	1561	1560	249
270	3990		249
503	1250	503,1012	248
3807	1426		248
1091	3965	1091,3964	247
1615	1136	1615	247
2449	2451		247
162	169		247
324	1095	324	246
1693	3080	1693	246
2793	2793		246
411	3879		246
533	533		245
1449	1449		245
1926	452	1926	244
895	895		244
2288	2577	2288	244
1111	1738	1583	243
1869	1869		243
1831	3674	1831,3131,3672	242
513	214		242
405	4239	4056	242
2984	2984		242
1272	1274	1272	241
1272	1275	1272	241
1093	1165	1093	241
11	3048	11,215,1258,1366,1697,3049	240
210	1866	210,1865	240
542	542		240
2468	2468		240
427	427		240
189	1790	1731,1732,3684	240
1125	1774		240
4792	4792		239
699	699		238
2220	1676	1139,2220	238
262	1425		238
2586	2602	2586	237
782	782		237
2540	2540		237
1334	2518	1334	237
1111	2711	1583,2708,3678	237
574	574		236
3413	199	3413	236
4789	1639	485	236
1766	1754	2125	236
1766	1765		236
87	4206	87,2350	235
2586	2606	2586	235
358	2832	202,2569	235
2080	2080		235
637	1773	3819	235
4097	4798		235
1194	3058	1194	234
1668	4605		234
2212	28		233
503	1281		233
	4603		233
2320	2778	2763	232
4676	4678		232
1550	2456	1550	231
677	677		231
1295	3239	3238	231
3815	3814	3815	230
2781	2781		230
176	1248	176	229
1831	4809	118,1831,4808	229
1354	1354		229
7	1047		229
11	1541	11,1540	228
1551	3784	3782	228
151	1598	151	227
1125	1560	1125	227
3792	3792		227
189	4397	189,1976	227
1831	2436	1831,2433,3131	226
245	597	245	226
224	224		226
112	4511	112	225
2666	2666		225
1283	1284		225
1194	2974	3026	225
4652	4652		225
1550	1789	1550	224
3697	3697		224
1304	1304		223
1581	1582	1581	223
2442	2442		223
638	638		222
3491	3489	3491	221
2669	2669		221
2612	2612		221
4611	4611		221
3776	3776		221
1213	1374		221
2174	2174		221
183	1637	183	220
2449	1852	2449,2460	220
1158	3203	1158	220
1672	1197		220
2652	3523		220
2320	2772	2320,2766	219
11	3925	11,373,1498,1540	219
11	2094	11,215	218
2652	3524		218
3676	3676		217
2214	1404		217
568	568		216
2991	2992		216
375	4536	474,4534	216
1572	4771	4623	216
176	3538	1248,1251	216
2213	1414		216
1268	1268		215
4152	4543	4152	215
582	582		215
4515	4515		215
2586	3651	2606	215
513	515		214
1103	1103		214
1391	2505	59,1391	214
1161	1161		214
83	2638	83	213
2449	2453	2450	213
3426	3426		212
337	3588	3645	212
262	341	262	211
262	1423	262	211
378	378		211
285	4389	285	211
1093	3627	1238,3628	211
2449	4791	2452	211
3301	3301		211
3222	3222		210
2148	2158	2148,2151	209
1230	1230		209
1213	1915		209
4504	4504		209
1111	1583	1111	208
254	3338	254,1167	208
1093	1658	1093,1657	208
2220	4254	1139	208
32	3277	32	207
141	4610		207
2838	17	2838,2840	206
162	167	162	206
7	1045	7	205
2213	1643	1413	205
2049	4081	2049	204
2216	3844		204
112	112		203
4164	4661		203
396	396		202
3762	3762		202
2214	1299	1504,2214	200
1024	1024		200
901	901		200
4789	2087	485,4789	200
2530	2530		200
353	1221		200
1093	4512	1165,4684,4816	200
285	4719	285,1846,4716	199
1624	1624		199
2320	2777	2763	198
2234	2234		198
1544	1619	1544	197
3456	3456		197
1188	2251		197
3414	3414		196
11	2813	11,215,374,2094	195
517	1229	517	195
1550	1776	1777	195
129	2278	1292,2509	195
13	318	347	194
408	4619	408,4616	193
75	4531	75,1893	193
2663	2663		193
75	1978	75	193
1379	420	1381	193
3157	3157		193
2449	4253	2449,2450	192
154	154		192
1831	2123	118,125,1831,3487	192
4336	4338	4336	192
3061	3061		192
162	1456		192
2838	413	2840	192
578	578		191
270	2237	270	191
3209	3209		191
1572	4748	1572,4623	190
4118	4118		190
2113	2113		190
2082	2082		190
637	3259	3067,3822	190
1335	1335		189
3387	3387		189
262	333	262	188
1272	1273	1272	188
324	3322	324,1723	188
112	115	112,114	188
999	999		188
2545	2545		188
390	390		188
1550	3549		188
1908	1728	274	188
3327	2960	1090	188
1612	3525	1827	188
67	2563	67	187
1919	1919		187
1295	4495		187
67	1694	67	186
2838	2842	2839	186
2320	2320		186
13	2964	13,60,347,2965	185
1615	1759		185
2213	3827	2213	185
2449	4796	2449,3899,3924	184
2838	290	2838,2840	184
2660	2660		184
1551	2879		184
1612	3527	1827	182
2000	2000		181
392	2407	392,2307	181
2929	2929		181
262	495	262	180
4586	4586		180
3332	3332		180
270	3082	3081	180
3194	4445	3194	179
1616	1616		178
3108	3108		178
131	131		178
1544	4547	1617	178
4708	4709	4708	177
1093	1166	1093	176
13	4555	13,60,347,4313	176
430	430		176
262	1528	262,1989	176
1961	2250	1994	176
11	2206	2105	176
1535	1117	1535	175
4170	4170		174
525	525		173
112	2233	2392	173
1062	1062		172
1445	1104	1445,2194	172
4776	3947	4777	172
1295	4159		172
4585	4585		172
284	3602	284	171
1607	1607		171
2216	297		171
2586	2690	2605	171
81	4726	4724	171
2147	1628		170
1286	2697	135,2696	170
1544	1618	1544	169
15	3029	15,1378	169
1615	3502		169
1352	1352		169
2449	2454	2449,2452	168
1551	3494	1551	168
1391	465	1391,3002	168
4825	4825		168
2680	2745		168
3392	1399	1427	168
1831	3685	3677	167
189	3663	3357,3358	167
3216	3340	3217	167
189	4399	1976	167
129	2467	129,2286	166
1551	8	1551	166
4766	4766		166
3250	3250		166
637	3344		166
2843	2849	2846	166
3938	3938		165
1158	2089	1158	165
724	724		164
1567	1567		164
41	3955	41	163
1550	101	1550	163
176	1108	176,1105	162
285	4717	285,1846,4716	162
2537	2537		162
4649	4649		162
3190	3190		162
176	2559	487,1248	162
