subclass	direct_parent	intermediate_nodes	rows
3597	3601	3310	20613
2215	1393		20430
141	141		20238
2224	1562	367	20206
78	2630	2310,2628	20195
305	305		20096
503	1250	1012	20008
245	2987		19933
163	163		19830
1615	1615		19741
4415	4415		19722
176	3100	176,3096	19572
2332	2332		19513
3809	1644	1129	19489
3282	4506		19448
1831	3487	118	19437
75	1893	75	19435
245	245		19401
181	181		19356
1155	1155		19257
4485	4485		18897
252	252		18746
3392	3392		18745
1290	1252		18631
1091	3965	3964	18534
1975	1975		18497
1630	3475		18388
1831	3670	118	18325
2111	2111		18260
1183	1183		18255
74	1924		18213
2554	2554		18188
3087	3089		18175
245	246	597	18169
80	4552		18147
285	4389		18100
4474	4474		18007
153	153		17987
1549	1565		17981
83	2639		17964
129	2938	1661	17930
176	2787	2086	17911
3981	3980		17723
19	19		17699
176	3099	176,3096	17452
212	212		17434
3893	4482		17335
13	4145	60,347,2404	17328
4629	4630		17328
1693	1693		17315
262	338		17287
323	323		17174
1114	1114		17149
2257	2334	2257	17131
1713	1713		16946
4162	4162		16771
554	554		16761
3589	3589		16757
2180	2180		16679
2338	2338		16527
13	4319	60,347	16488
1283	1538		16422
13	4321	13,60,347	16401
56	56		16352
13	4315	60,347	16320
1093	3626	1238,3628	16136
95	2636		16136
2288	2577		16118
3568	3568		16064
176	2786	2086	16030
251	251		16029
1908	100		16008
3590	3590		15955
78	2633	2310,2632	15951
1334	2951		15922
79	79		15906
637	3821	3822	15906
1194	1194		15898
35	2564	35,1099	15731
2722	2722		15680
3997	3997		15647
13	2010	1813	15634
4789	206		15569
2323	2323		15568
308	4292		15233
3981	3979		15214
3566	1469		15104
262	1528	1989	15065
2995	2995		14892
2117	2117		14837
2257	2695	2334	14835
86	86		14821
159	159		14736
503	4225		14735
1871	1871		14734
284	1141		14681
1516	1516		14676
111	111		14613
313	313		14593
1831	3213	124	14560
1611	1611		14509
3410	144	3410	14501
176	3098	176,3096	14423
4105	4638		14414
4789	207		14390
13	1878	13,347	14313
1314	1314		14307
93	93		14263
2554	2556		14087
3787	3787		14041
176	179	176,178	14037
1418	1669		13982
245	597		13789
11	1498	1540	13767
262	1423		13743
67	2413	2265	13700
1551	676		13676
4149	4149		13675
229	229		13584
3425	3425		13579
176	178	176	13539
176	4700	1350	13508
1614	1614		13473
1339	1339		13466
2042	1829		13441
2330	2330		13347
1466	1466		13307
41	3030	500	13306
2224	2224		13242
3998	3998		13235
78	1225	2310	13204
481	481		13199
1244	1244		13163
1115	1115		13112
1466	3570		13107
1578	1578		13063
518	518		12808
109	109		12784
4331	4331		12749
2449	4796	3899,3924	12709
250	2273	1149,1150	12698
2497	4529	4196	12692
1016	1016		12563
262	341		12496
1764	1764		12478
254	2463	254	12349
2496	4749	1820,2496	12299
78	2529	2310	12256
262	483		12249
56	1144		12246
285	4757	4712,4755	12195
45	45		12172
11	2276	3305	12151
3194	3265		12137
194	194		12109
78	2327	78,2310	12026
4405	4405		11999
2049	2358	1580	11929
223	223		11914
2224	1934		11913
1093	3919	1166	11893
1093	3416	1238	11877
2967	2967		11842
2932	2932		11833
4794	4794		11805
3918	3918		11770
285	4718	1846,4716	11714
78	78		11638
2980	2981	2980	11629
2908	2909		11585
320	320		11569
32	3278		11565
3597	3600	3310	11527
	400		11492
1013	1013		11483
2124	2124		11413
4677	4677		11403
1831	1363	3131,3672	11389
2049	2358	1580,2049	11325
3410	204	200,2817	11320
2114	2114		11316
503	503		11285
2377	2377		11284
111	306	111	11251
75	292	75,291	11248
480	480		11231
1982	2223		11164
75	2202		11135
176	4010	1105,4009	10989
83	2638		10987
1158	3031		10971
57	57		10941
7	2760		10935
2901	494		10913
210	1866	1865	10899
2214	1299	1504	10836
1797	1797		10745
4191	4191		10741
262	2950		10653
254	3338	1167	10636
1151	40		10619
1257	1257		10617
102	102		10595
1581	1582		10589
1930	1930		10534
4789	486	4789	10514
13	4831	13,348	10446
11	146	1148,3305	10439
129	286		10399
2554	2557	2555	10362
321	4704		10289
4789	416	486	10279
4107	4107		10277
1302	1302		10236
1286	137		10234
3862	3862		10206
13	4311	60,347	10206
343	343		10195
2701	2701		10172
78	242	2310	10118
13	4313	60,347	10114
4476	4476		10105
2449	3901	2449,2452,2454	10093
254	1656		10061
481	1211		10011
1935	2982	1935	9997
36	4671	36	9983
1272	1274		9977
1733	1733		9962
270	1178		9945
4538	4538		9918
1831	3926	133	9826
2524	2525		9820
1093	3922	475	9768
4336	4337		9768
3194	3867	3195	9671
35	1099	35	9666
503	1012		9653
278	278		9642
13	1189	13,60,347	9564
1920	1920		9564
1626	1626		9497
4659	4659		9431
1988	1988		9426
189	2184		9421
491	491		9389
78	2631	2310,2628	9367
162	167		9333
2449	3924	2449,3899	9315
4502	4502		9314
2011	2011		9305
327	327		9283
244	244		9279
67	2563		9268
1693	4733	3080	9251
1093	1658	1657	9247
1313	1313		9243
1816	1816		9221
270	4581	3136,3311	9220
75	4161		9203
222	222		9193
4758	4758		9187
1929	1929		9177
392	2407	2307	9169
1831	2229	124	9160
2275	2275		9134
3455	1185		9134
1212	1212		9107
2129	2129		9094
1391	1391		9052
1900	1900		9049
4631	3864	4631	9024
262	495		8999
364	364		8985
1152	4117		8961
88	205		8955
1515	1515		8947
139	139		8918
2212	2212		8876
35	1100	35	8829
2042	2042		8818
2106	2106		8807
75	292	291	8779
1111	3533	1583	8777
2351	2351		8707
1961	1994		8703
176	3469	176,178	8645
1871	4687	2349	8623
55	55		8576
1286	135		8557
1552	1552		8533
299	299		8532
1908	1811	274	8448
4450	4452		8425
11	2205	2105	8419
2648	2648		8365
1549	1127		8361
2863	2863		8357
1295	3095		8351
189	3359	189	8340
250	2282	1149,1150,2273	8326
13	4329	13,60,347	8310
1918	1918		8308
1876	2422		8282
1283	1772	1543	8279
41	52		8267
158	158		8235
756	756		8216
4293	4692		8203
231	231		8171
1316	1316		8158
1710	1710		8143
1990	1990		8115
1445	1445		8102
1111	3531	1583	8102
	279		8085
112	4511		8084
83	4342	83	8042
2083	2575		8020
2499	2499		8006
321	4110	321	8002
1863	1863		7992
1833	1833		7969
	4150		7959
75	1921		7933
216	216		7917
1693	3080		7867
3569	3569		7813
1091	4518	1091,3276,4517	7766
2348	2196		7766
